Timestamp_ms,SOC_%,SOH_%,Pack_V,Pack_A,ErrorNum,ErrorCellTemp,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Temp6_C,Temp7_C,Temp8_C,Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V,Cell9_V,Cell10_V,Cell11_V,Cell12_V,Cell13_V,Cell14_V,Cell15_V,Cell16_V,MaxCharge_V,MaxCharge_A,MaxDischarge_A,MinDischarge_V,Ah,BMS_Temp_C,IO_Status,Balancing_Status_Hex,Contactor_Status
850,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
1750,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
2740,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.440,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
3750,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
4660,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
5650,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
6660,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
7560,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
8550,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
9560,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
10460,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
11460,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.440,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
12470,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
13370,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
14360,1.0,80.0,17.30,0.74,0,0,24,28,0,0,0,0,0,0,3.477,3.439,3.466,3.452,3.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.1,52.5,52.5,13.4,167,33,2,0x0000,0
