Timestamp_ms,SOC_%,SOH_%,Pack_V,Pack_A,ErrorNum,ErrorCellTemp,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Temp6_C,Temp7_C,Temp8_C,Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V,Cell9_V,Cell10_V,Cell11_V,Cell12_V,Cell13_V,Cell14_V,Cell15_V,Cell16_V,MaxCharge_V,MaxCharge_A,MaxDischarge_A,MinDischarge_V,Ah,BMS_Temp_C,IO_Status,Balancing_Status_Hex,Contactor_Status
920,2.5,80.0,16.22,0.82,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,22.1,52.5,13.4,164,29,6,0x0000,0
1820,2.5,80.0,16.22,0.82,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,23.1,52.5,13.4,164,29,6,0x0000,0
2810,2.5,80.0,16.22,0.82,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,24.1,52.5,13.4,164,29,6,0x0000,0
3820,2.5,80.0,16.22,0.82,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,24.1,52.5,13.4,164,29,6,0x0000,0
4720,2.5,80.0,16.22,0.82,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,25.1,52.5,13.4,164,29,6,0x0000,0
5710,2.5,80.0,16.22,0.80,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,26.1,52.5,13.4,164,29,6,0x0000,0
6720,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,26.1,52.5,13.4,164,29,6,0x0000,0
7630,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,27.1,52.5,13.4,164,29,6,0x0000,0
8620,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,28.1,52.5,13.4,164,29,6,0x0000,0
9630,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,28.1,52.5,13.4,164,29,6,0x0000,0
10530,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,29.1,52.5,13.4,164,29,6,0x0000,0
11520,2.5,80.0,16.22,0.78,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,30.1,52.5,13.4,164,29,6,0x0000,0
12530,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,30.1,52.5,13.4,164,29,6,0x0000,0
13440,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,31.1,52.5,13.4,164,29,6,0x0000,0
14430,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,32.1,52.5,13.4,164,29,6,0x0000,0
15440,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,32.1,52.5,13.4,164,29,6,0x0000,0
16340,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,33.1,52.5,13.4,164,29,6,0x0000,0
17330,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,34.1,52.5,13.4,164,29,6,0x0000,0
18340,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,34.1,52.5,13.4,164,29,6,0x0000,0
19240,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,35.1,52.5,13.4,164,29,6,0x0000,0
20240,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,36.1,52.5,13.4,164,29,6,0x0000,0
21250,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,36.1,52.5,13.4,164,29,6,0x0000,0
22150,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,37.1,52.5,13.4,164,29,6,0x0000,0
23140,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,38.1,52.5,13.4,164,29,6,0x0000,0
24150,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,38.1,52.5,13.4,164,29,6,0x0000,0
25050,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,39.1,52.5,13.4,164,29,6,0x0000,0
26050,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,40.1,52.5,13.4,164,29,6,0x0000,0
27060,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,40.1,52.5,13.4,164,29,6,0x0000,0
27960,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,41.1,52.5,13.4,164,29,6,0x0000,0
28950,2.5,80.0,16.22,0.74,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,42.1,52.5,13.4,164,29,6,0x0000,0
