Timestamp_ms,SOC_%,SOH_%,Pack_V,Pack_A,ErrorNum,ErrorCellTemp,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Temp6_C,Temp7_C,Temp8_C,Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V,Cell9_V,Cell10_V,Cell11_V,Cell12_V,Cell13_V,Cell14_V,Cell15_V,Cell16_V,MaxCharge_V,MaxCharge_A,MaxDischarge_A,MinDischarge_V,Ah,BMS_Temp_C,IO_Status,Balancing_Status_Hex,Contactor_Status
68110,1.0,80.0,11.78,0.90,0,0,33,32,0,0,0,0,0,0,2.370,2.340,2.359,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,1.1,47.2,11.7,167,28,5,0x0000,0
69120,1.0,80.0,11.78,0.90,0,0,33,32,0,0,0,0,0,0,2.370,2.340,2.359,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,2.1,49.6,13.4,167,28,5,0x0000,0
70020,1.0,80.0,11.79,1.16,0,0,33,32,0,0,0,0,0,0,2.371,2.340,2.360,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,2.1,49.6,13.4,167,28,5,0x0000,0
71010,1.0,80.0,11.79,1.14,0,0,33,32,0,0,0,0,0,0,2.371,2.340,2.360,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,3.1,52.0,13.4,167,28,5,0x0000,0
72020,1.0,80.0,11.79,1.14,0,0,33,32,0,0,0,0,0,0,2.371,2.340,2.360,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,4.1,0.0,13.4,167,28,6,0x0000,0
72930,1.0,80.0,11.79,1.14,2,2,33,32,0,0,0,0,0,0,2.371,2.341,2.360,2.357,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,4.1,0.0,13.4,167,28,6,0x0000,0
73920,1.0,80.0,11.79,1.12,2,2,33,32,0,0,0,0,0,0,2.371,2.341,2.361,2.358,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,5.1,0.0,13.4,167,28,6,0x0000,1
74930,1.0,80.0,11.79,1.12,2,2,33,32,0,0,0,0,0,0,2.371,2.341,2.361,2.358,2.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,6.1,0.0,13.4,167,28,6,0x0000,1
75830,1.0,80.0,11.79,1.12,2,2,33,32,0,0,0,0,0,0,2.372,2.341,2.361,2.358,2.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,6.1,0.0,13.4,167,28,6,0x0000,1
76810,1.0,80.0,11.79,1.10,2,2,34,32,0,0,0,0,0,0,2.372,2.341,2.361,2.358,2.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,7.1,0.0,13.4,167,28,4,0x0000,0
77810,1.0,80.0,11.79,1.10,2,2,33,32,0,0,0,0,0,0,2.372,2.341,2.361,2.358,2.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,8.1,0.0,13.4,167,28,4,0x0000,0
78720,1.0,80.0,11.79,1.10,2,2,33,32,0,0,0,0,0,0,2.372,2.341,2.361,2.358,2.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,8.1,0.0,13.4,167,28,4,0x0000,0
79710,1.0,80.0,11.79,1.08,2,2,34,32,0,0,0,0,0,0,2.372,2.342,2.362,2.358,2.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,9.1,0.0,13.4,167,28,4,0x0000,0
80720,1.0,80.0,11.79,1.08,2,2,33,32,0,0,0,0,0,0,2.372,2.342,2.362,2.358,2.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,10.1,0.0,13.4,167,28,4,0x0000,0
81620,1.0,80.0,11.80,1.06,2,2,33,32,0,0,0,0,0,0,2.373,2.342,2.362,2.359,2.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,10.1,0.0,13.4,167,28,4,0x0000,0
82610,1.0,80.0,11.80,1.04,2,2,34,32,0,0,0,0,0,0,2.373,2.342,2.362,2.359,2.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,11.1,0.0,13.4,167,28,4,0x0000,0
83610,1.0,80.0,11.80,1.04,2,2,34,32,0,0,0,0,0,0,2.373,2.342,2.362,2.359,2.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.3,12.1,0.0,13.4,167,28,4,0x0000,0
