nodeID,frameIndex,dataIndex,nodeName,numFrames,dataName,plottable,nodeIndex,numData,dataTimeout,enableTelemCallback,min,max,bitLength,minWarning,maxWarning,enumVal,crit_count_max,minCritical,maxCritical
3,0,0,precharge,2,battery_V,true,0,7,5000,0,-100,923,10,120,923,,1,90,923
3,0,1,precharge,2,motor_V,true,0,7,5000,0,-100,923,10,100,923,,0,-100,923
3,0,2,precharge,2,prechargeState,true,0,7,5000,0,0,2,2,0,2,prechargeState,0,0,2
3,0,3,precharge,2,contactorState,true,0,7,5000,0,0,2,2,0,2,prechargeState,0,0,2
3,0,4,precharge,2,IMD_frequency_Hz,true,0,7,5000,0,0,255,8,8,12,,1,7,13
3,0,5,precharge,2,IMD_Duty_Cycle_Percent,true,0,7,5000,0,0,100,7,5,10,,1,4,11
3,0,6,precharge,2,IMD_Hardware_Fault_Indicator,true,0,7,5000,0,0,1,1,0,1,,0,0,1
3,1,0,precharge,2,min_MC_Voltage,true,0,2,15000,0,0,1023,10,0,1023,,0,0,1023
3,1,1,precharge,2,minPercentCharged,true,0,2,15000,0,37,100,6,37,100,,0,37,100
8,0,0,pedalSensor,1,pedalPowerReadingmV,true,2,5,5000,0,-30000,35000,16,4500,6000,,0,-30000,35000
8,0,1,pedalSensor,1,pedalReadingOne,true,2,5,5000,0,-20,120,8,-20,120,,0,-20,120
8,0,2,pedalSensor,1,pedalReadingTwo,true,2,5,5000,0,-20,120,8,-20,120,,0,-20,120
8,0,3,pedalSensor,1,brakeReading,true,2,5,5000,0,-20,120,8,-10,110,,0,-20,120
8,0,4,pedalSensor,1,SDIO_det_pin,true,2,5,5000,0,0,1,1,0,1,,0,0,1
9,0,0,IMU,4,IMU_temp_F,true,3,4,3000,1,-100,923,10,-100,923,,0,-100,923
9,0,1,IMU,4,radiator_temp_F,true,3,4,3000,1,-100,1947,11,-100,1947,,0,-100,1947
9,0,2,IMU,4,humiditySense_temp_F,true,3,4,3000,1,-100,1947,11,-100,1947,,0,-100,1947
9,0,3,IMU,4,RH,true,3,4,3000,1,-55,200,8,0,100,,0,-55,200
9,1,0,IMU,4,posX_m,true,3,3,3000,0,-1048576,1048575,21,-1048576,1048575,,0,-1048576,1048575
9,1,1,IMU,4,posY_m,true,3,3,3000,0,-1048576,1048575,21,-1048576,1048575,,0,-1048576,1048575
9,1,2,IMU,4,posZ_m,true,3,3,3000,0,-1048576,1048575,21,-1048576,1048575,,0,-1048576,1048575
9,2,0,IMU,4,accelX_miliGs,true,3,3,3000,0,-32768,32767,16,-32768,32767,,0,-32768,32767
9,2,1,IMU,4,accelY_miliGs,true,3,3,3000,0,-32768,32767,16,-32768,32767,,0,-32768,32767
9,2,2,IMU,4,accelZ_miliGs,true,3,3,3000,0,-32768,32767,16,-32768,32767,,0,-32768,32767
9,3,0,IMU,4,yaw_degrees,true,3,6,3000,0,-180,180,9,-180,180,,0,-180,180
9,3,1,IMU,4,pitch_degrees,true,3,6,3000,0,-90,90,8,-90,90,,0,-90,90
9,3,2,IMU,4,roll_degrees,true,3,6,3000,0,-180,180,9,-180,180,,0,-180,180
9,3,3,IMU,4,gyroX_deciDegree_p_s,true,3,6,3000,0,-2048,2047,12,-2048,2047,,0,-2048,2047
9,3,4,IMU,4,gyroY_deciDegree_p_s,true,3,6,3000,0,-2048,2047,12,-2048,2047,,0,-2048,2047
9,3,5,IMU,4,gyroZ_deciDegree_p_s,true,3,6,3000,0,-8192,8191,14,-8192,8191,,0,-8192,8191
10,0,0,powerDistribution,2,LV_Battery_mV,true,4,2,3000,0,-524288,524287,20,22000,29500,,1,20000,31000
10,0,1,powerDistribution,2,LV_Battery_mA,true,4,2,3000,0,-524288,524287,20,-1,25000,,0,-524288,524287
10,1,0,powerDistribution,2,CoolantAvgCurrent_mA,true,4,5,3000,0,-32768,32767,16,-32768,32767,,0,-32768,32767
10,1,1,powerDistribution,2,CoolantPeakCurrent_mA,true,4,5,3000,0,-32768,32767,16,-32768,32767,,0,-32768,32767
10,1,2,powerDistribution,2,Coolant_Freq_kHz,true,4,5,3000,0,0,255,8,0,255,,0,0,255
10,1,3,powerDistribution,2,CoolantDutyCycle,true,4,5,3000,0,0,100,7,0,100,,0,0,100
10,1,4,powerDistribution,2,CoolantDriver_Fault,true,4,5,3000,0,0,1,1,0,1,,0,0,1
0,0,0,telemetry,7,VitalsUpdate_vitalsContactorState,false,0,17,3000,0,0,3,2,0,3,True,0,0,3
0,0,1,telemetry,7,VitalsUpdate_contactorStateLatched,false,0,17,3000,0,0,1,1,0,1,0,0,0,1
0,0,2,telemetry,7,VitalsUpdate_TWAI_TX_Err_Cnt,true,0,17,3000,0,-10,245,8,-10,245,0,0,-10,245
0,0,3,telemetry,7,VitalsUpdate_TWAI_RX_Err_Cnt,true,0,17,3000,0,0,255,8,0,255,0,0,0,255
0,0,4,telemetry,7,VitalsUpdate_TWAI_Err_Cnt,true,0,17,3000,0,0,4095,12,0,4095,0,0,0,4095
0,0,5,telemetry,7,VitalsUpdate_failed_TX_Cnt,true,0,17,3000,0,0,4095,12,0,4095,0,0,0,4095
0,0,6,telemetry,7,VitalsUpdate_RX_Overrun_Cnt,true,0,17,3000,0,0,2047,11,0,2047,0,0,0,2047
0,0,7,telemetry,7,VitalsUpdate_RX_Missed_Cnt,true,0,17,3000,0,0,2047,11,0,2047,0,0,0,2047
0,0,8,telemetry,7,VitalsUpdate_RX_Recv_Queue_Cnt,true,0,17,3000,0,0,15,4,0,15,0,0,0,15
0,0,9,telemetry,7,VitalsUpdate_slowestNode1_ID,true,0,17,3000,0,0,15,4,0,100,0,0,0,15
0,0,10,telemetry,7,VitalsUpdate_slowestNode1_time,true,0,17,3000,0,0,1023,10,0,1023,0,0,0,1023
0,0,11,telemetry,7,VitalsUpdate_slowestNode2_ID,true,0,17,3000,0,0,15,4,0,100,0,0,0,15
0,0,12,telemetry,7,VitalsUpdate_slowestNode2_time,true,0,17,3000,0,0,1023,10,0,1023,0,0,0,1023
0,0,13,telemetry,7,VitalsUpdate_slowestNode3_ID,true,0,17,3000,0,0,15,4,0,100,0,0,0,15
0,0,14,telemetry,7,VitalsUpdate_slowestNode3_time,true,0,17,3000,0,0,1023,10,0,1023,0,0,0,1023
0,0,15,telemetry,7,VitalsUpdate_TWAI_STATE,false,0,17,3000,0,0,3,2,0,3,True,0,0,3
0,0,16,telemetry,7,VitalsUpdate_HBMask,false,0,17,3000,0,0,31,5,0,31,0,0,0,31
0,1,0,telemetry,7,vitalsErr_numErrors,false,0,1,0,0,0,255,8,0,255,0,0,0,255
0,2,0,telemetry,7,dataWarning_dataTooHigh,false,0,5,0,0,0,1,1,0,1,0,0,0,1
0,2,1,telemetry,7,dataWarning_dataErrorTrigger,false,0,5,0,0,0,4,3,0,4,True,0,0,4
0,2,2,telemetry,7,dataWarning_nodeID,false,0,5,0,0,0,15,4,0,15,0,0,0,15
0,2,3,telemetry,7,dataWarning_frameID,false,0,5,0,0,0,3,2,0,3,0,0,0,3
0,2,4,telemetry,7,dataWarning_dataID,false,0,5,0,0,0,15,4,0,15,0,0,0,15
